Local Time,City,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precip,Pres,Rh,Solar_rad,Temp,Vis,Wind_spd
3/1/2022 0:00,Hanoi,150,384,38,45,67.5,54,84.3,91,0,1015,76,0,19.9,10,2.33
3/1/2022 1:00,Hanoi,155,439.5,47,32,73.8,59,103,87,0,1014,79,0,19.7,10,2
3/1/2022 2:00,Hanoi,152,529.3,49.7,21.3,71.3,57,97.3,91,0,1014,80,0,19.6,10,2
3/1/2022 3:00,Hanoi,153,619.2,52.3,10.7,72.5,58,91.7,95,0.75,1014,81,0,19.6,10,2
3/1/2022 4:00,Hanoi,157,709.1,55,0,76.3,61,86,100,1.5,1014,83,0,19.5,10,2
3/1/2022 5:00,Hanoi,168,679.9,52.3,2.3,86.3,69,72.3,87,1.5,1015,85,0,19.4,8,2
3/1/2022 6:00,Hanoi,173,650.7,49.7,4.7,91.3,73,58.7,75,1.5,1015,88,0,19.3,6,2
3/1/2022 7:00,Hanoi,165,621.5,47,7,83.8,67,45,62,0.25,1016,91,87,19.2,4,2
3/1/2022 8:00,Hanoi,188,477.6,34,34.7,105,84,33,75,0,1016,87,217,19.7,6,2
3/1/2022 9:00,Hanoi,196,333.6,21,62.3,112.5,90,21,87,0.5,1017,83,229,20.1,8,0.5
3/1/2022 10:00,Hanoi,196,189.7,8,90,112.5,90,9,100,0.5,1018,80,155,20.6,10,0.5
3/1/2022 11:00,Hanoi,219,172.9,6.7,92.3,133.8,107,8.3,100,0.5,1017,78,168,21.1,10,1
3/1/2022 12:00,Hanoi,220,156.2,5.3,94.7,135,108,7.7,100,0.5,1016,75,174,21.5,10,1.5
3/1/2022 13:00,Hanoi,223,139.5,4,97,137.5,110,7,100,0.25,1015,73,172,22,10,2
3/1/2022 14:00,Hanoi,212,144.3,5,93.7,127.5,102,9.7,100,0,1014,73,160,22.3,10,2
3/1/2022 15:00,Hanoi,212,149.2,6,90.3,127.5,102,12.3,100,0,1014,72,141,22.7,10,2
3/1/2022 16:00,Hanoi,205,154.1,7,87,121.3,97,15,100,0,1013,72,112,23,10,2
3/1/2022 17:00,Hanoi,196,176.4,10.3,77.3,112.5,90,21.3,100,0,1014,76,71,22.7,10,2.33
3/1/2022 18:00,Hanoi,201,198.8,13.7,67.7,117.5,94,27.7,100,0,1014,80,0,22.3,10,2.66
3/1/2022 19:00,Hanoi,201,221.2,17,58,117.5,94,34,100,0,1015,84,0,22,10,3
3/1/2022 20:00,Hanoi,139,263,23.3,48,62.5,50,46,95,0,1015,86,0,21.6,10,2.66
3/1/2022 21:00,Hanoi,89,304.8,29.7,38,37.5,30,58,91,0,1016,87,0,21.2,10,2.33
3/1/2022 22:00,Hanoi,89,346.7,36,28,37.5,30,70,87,0,1017,88,0,20.8,10,2
3/1/2022 23:00,Hanoi,110,440.8,38.3,18.7,48.8,39,72.3,87,0,1017,90,0,20.6,10,2
3/2/2022 0:00,Hanoi,148,535,40.7,9.3,66.3,53,74.7,87,0,1017,91,0,20.4,10,2
3/2/2022 1:00,Hanoi,137,629.1,43,0,61.3,49,77,87,0,1017,92,0,20.2,10,2
3/2/2022 2:00,Hanoi,150,680.1,40.7,0,67.5,54,73.3,91,0,1016,93,0,20,8,2
3/2/2022 3:00,Hanoi,139,731.1,38.3,0,62.5,50,69.7,95,0,1016,94,0,19.9,6,2
3/2/2022 4:00,Hanoi,153,782,36,0,68.8,55,66,100,1,1016,95,0,19.7,4,2
3/2/2022 5:00,Hanoi,157,770.7,35,0.7,76.3,61,57,79,0.75,1016,95,0,19.7,3,2
3/2/2022 6:00,Hanoi,157,759.5,34,1.3,76.3,61,48,58,1,1017,95,0,19.7,2,2
3/2/2022 7:00,Hanoi,213,748.2,33,2,128.8,103,39,37,1,1017,95,106,19.7,1,2
3/2/2022 8:00,Hanoi,256,635.9,29,34.3,168.8,135,31.3,58,0.5,1018,91,287,20.5,2,2
3/2/2022 9:00,Hanoi,250,523.7,25,66.7,163.8,131,23.7,79,0,1018,87,319,21.4,3,2
3/2/2022 10:00,Hanoi,211,411.4,21,99,126.3,101,16,100,0,1018,83,150,22.2,4,2
3/2/2022 11:00,Hanoi,208,334.4,15,108.7,123.8,99,15.7,95,0,1017,77,174,23.1,6,2.16
3/2/2022 12:00,Hanoi,223,257.4,9,118.3,137.5,110,15.3,91,0,1016,71,283,23.9,8,2.33
3/2/2022 13:00,Hanoi,215,180.3,3,128,130,104,15,87,0,1015,65,363,24.8,10,2.5
3/2/2022 14:00,Hanoi,131,187.9,4,126.7,58.8,47,16.7,91,0,1014,63,247,24.9,10,2.66
3/2/2022 15:00,Hanoi,131,195.5,5,125.3,58.8,47,18.3,95,0.5,1013,61,129,25.1,10,2.83
3/2/2022 16:00,Hanoi,82,203.1,6,124,33.8,27,20,100,2,1013,59,95,25.2,10,3
3/2/2022 17:00,Hanoi,82,244.1,10.7,109,33.8,27,28,100,2,1013,62,60,24.8,10,3
3/2/2022 18:00,Hanoi,121,285.2,15.3,94,53.8,43,36,100,2,1013,65,0,24.3,10,3
3/2/2022 19:00,Hanoi,196,326.2,20,79,112.5,90,44,100,1,1013,67,0,23.9,10,3
3/2/2022 20:00,Hanoi,196,356.4,23,74,112.5,90,51.7,100,0.5,1014,72,0,23.4,10,3
3/2/2022 21:00,Hanoi,195,386.5,26,69,111.3,89,59.3,100,0.5,1014,77,0,22.9,10,3
3/2/2022 22:00,Hanoi,195,416.7,29,64,111.3,89,67,100,0.5,1015,82,0,22.4,10,3
3/2/2022 23:00,Hanoi,184,475.1,35.7,45,101.3,81,44.7,100,0.5,1015,84,0,21.9,10,2.66
3/3/2022 0:00,Hanoi,189,533.4,42.3,26,106.3,85,22.3,100,0.5,1015,86,0,21.5,10,2.33
3/3/2022 1:00,Hanoi,189,591.8,49,7,106.3,85,0,100,0.5,1015,88,0,21,10,2
3/3/2022 2:00,Hanoi,220,629.3,47.7,4.7,135,108,3,100,0.5,1014,90,0,20.5,8,2
3/3/2022 3:00,Hanoi,211,666.9,46.3,2.3,126.3,101,6,100,0.75,1014,92,0,19.9,6,2
3/3/2022 4:00,Hanoi,211,704.4,45,0,126.3,101,9,100,0.75,1013,93,0,19.4,4,2
3/3/2022 5:00,Hanoi,233,678.7,42.7,4,147.5,118,7.3,100,1,1014,94,0,19.1,3,2.33
3/3/2022 6:00,Hanoi,233,653,40.3,8,147.5,118,5.7,100,1,1014,95,0,18.8,2,2.66
3/3/2022 7:00,Hanoi,231,627.4,38,12,145,116,4,100,1,1015,96,57,18.5,1,3
3/3/2022 8:00,Hanoi,211,495.5,28,39.7,126.3,101,4.7,97,1.5,1015,92,120,19.5,4,3
3/3/2022 9:00,Hanoi,215,363.6,18,67.3,130,104,5.3,95,0,1016,88,114,20.4,7,3
3/3/2022 10:00,Hanoi,189,231.7,8,95,106.3,85,6,93,0,1016,84,192,21.4,10,3
3/3/2022 11:00,Hanoi,82,199,6.3,98.7,33.8,27,6.3,91,0,1015,75,270,22.7,10,2.66
3/3/2022 12:00,Hanoi,82,166.3,4.7,102.3,33.8,27,6.7,89,0,1014,67,333,23.9,10,2.33
3/3/2022 13:00,Hanoi,110,133.6,3,106,48.8,39,7,87,0,1012,59,367,25.2,10,2
3/3/2022 14:00,Hanoi,85,135.6,3.3,103.7,35,28,8.7,91,0,1012,60,248,25.3,10,2.33
3/3/2022 15:00,Hanoi,85,137.5,3.7,101.3,35,28,10.3,95,0,1011,61,129,25.4,10,2.66
3/3/2022 16:00,Hanoi,85,139.5,4,99,35,28,12,100,0,1010,62,112,25.5,10,3
3/3/2022 17:00,Hanoi,85,155.8,6.7,90.7,35,28,16.7,95,0,1010,66,100,25,10,3.33
3/3/2022 18:00,Hanoi,95,172.2,9.3,82.3,41.3,33,21.3,91,0,1010,70,0,24.5,10,3.66
3/3/2022 19:00,Hanoi,91,188.5,12,74,38.8,31,26,87,0,1010,75,0,24,10,4
3/3/2022 20:00,Hanoi,118,195.3,13.7,69.3,52.5,42,30,70,0,1011,79,0,23,10,3.66
3/3/2022 21:00,Hanoi,100,202.1,15.3,64.7,43.8,35,34,54,0,1012,83,0,22,10,3.33
3/3/2022 22:00,Hanoi,95,208.9,17,60,41.3,33,38,37,0,1013,87,0,21,10,3
3/3/2022 23:00,Hanoi,82,224.7,20.3,52.7,33.8,27,35.7,45,0,1012,88,0,20.6,10,3
3/4/2022 0:00,Hanoi,91,240.4,23.7,45.3,38.8,31,33.3,54,0,1012,89,0,20.2,10,3
3/4/2022 1:00,Hanoi,78,256.2,27,38,31.3,25,31,62,0,1012,91,0,19.8,10,3
3/4/2022 2:00,Hanoi,85,270.2,27.7,32.7,35,28,22,75,0,1012,91,0,19.9,8,3
